LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
66m         Normal    Pulled              pod/web-deployment-ddd46bfd-vmfv9      Successfully pulled image "nginx:1.31-alpine" in 49.715s (49.715s including waiting). Image size: 26279045 bytes.
66m         Normal    Created             pod/web-deployment-ddd46bfd-vmfv9      Container created
66m         Normal    Started             pod/web-deployment-ddd46bfd-vmfv9      Container started
66m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-55r79
66m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-jbsnw
66m         Normal    Scheduled           pod/web-deployment-ddd46bfd-55r79      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-55r79 to worker-node-2
66m         Normal    Killing             pod/web-deployment-76ddf5fcf9-jbsnw    Stopping container web
66m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 2 to 3
66m         Normal    Pulled              pod/web-deployment-ddd46bfd-55r79      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
66m         Normal    Created             pod/web-deployment-ddd46bfd-55r79      Container created
66m         Normal    Started             pod/web-deployment-ddd46bfd-55r79      Container started
66m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-hfxsl
66m         Normal    Killing             pod/web-deployment-76ddf5fcf9-hfxsl    Stopping container web
65m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-bfzjx
65m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-bfzjx    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-bfzjx to worker-node-1
65m         Normal    Started             pod/web-deployment-76ddf5fcf9-bfzjx    Container started
65m         Normal    Created             pod/web-deployment-76ddf5fcf9-bfzjx    Container created
65m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-bfzjx    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-vmfv9
65m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-n2wgv    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-n2wgv to worker-node-2
65m         Normal    Killing             pod/web-deployment-ddd46bfd-vmfv9      Stopping container web
65m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-n2wgv
65m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-n2wgv    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    Created             pod/web-deployment-76ddf5fcf9-n2wgv    Container created
65m         Normal    Started             pod/web-deployment-76ddf5fcf9-n2wgv    Container started
65m         Normal    Started             pod/web-deployment-76ddf5fcf9-6rjn8    Container started
65m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-6rjn8    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    Killing             pod/web-deployment-ddd46bfd-55r79      Stopping container web
65m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-6rjn8
65m         Normal    Created             pod/web-deployment-76ddf5fcf9-6rjn8    Container created
65m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-55r79
65m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-6rjn8    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-6rjn8 to worker-node-1
65m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-9cwv4
65m         Normal    Killing             pod/web-deployment-ddd46bfd-9cwv4      Stopping container web
64m         Normal    SuccessfulCreate    replicaset/web-deployment-67499b7844   Created pod: web-deployment-67499b7844-4cbgj
64m         Normal    Scheduled           pod/web-deployment-67499b7844-4cbgj    Successfully assigned dso202-practical-01/web-deployment-67499b7844-4cbgj to worker-node-2
62m         Normal    Pulling             pod/web-deployment-67499b7844-4cbgj    Pulling image "nginx:9.99-does-not-exist"
62m         Warning   Failed              pod/web-deployment-67499b7844-4cbgj    Error: ErrImagePull
62m         Warning   Failed              pod/web-deployment-67499b7844-4cbgj    Failed to pull image "nginx:9.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:9.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:9.99-does-not-exist": docker.io/library/nginx:9.99-does-not-exist: not found
61m         Warning   Failed              pod/web-deployment-67499b7844-4cbgj    Error: ImagePullBackOff
61m         Normal    SuccessfulDelete    replicaset/web-deployment-67499b7844   Deleted pod: web-deployment-67499b7844-4cbgj
61m         Normal    BackOff             pod/web-deployment-67499b7844-4cbgj    Back-off pulling image "nginx:9.99-does-not-exist"
61m         Normal    Scheduled           pod/web-deployment-67499b7844-rrdfb    Successfully assigned dso202-practical-01/web-deployment-67499b7844-rrdfb to worker-node-2
61m         Normal    ScalingReplicaSet   deployment/web-deployment              (combined from similar events): Scaled up replica set web-deployment-67499b7844 from 0 to 1
61m         Normal    SuccessfulCreate    replicaset/web-deployment-67499b7844   Created pod: web-deployment-67499b7844-rrdfb
61m         Normal    Pulling             pod/web-deployment-67499b7844-rrdfb    Pulling image "nginx:9.99-does-not-exist"
61m         Warning   Failed              pod/web-deployment-67499b7844-rrdfb    Error: ErrImagePull
61m         Warning   Failed              pod/web-deployment-67499b7844-rrdfb    Failed to pull image "nginx:9.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:9.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:9.99-does-not-exist": docker.io/library/nginx:9.99-does-not-exist: not found
60m         Normal    BackOff             pod/web-deployment-67499b7844-rrdfb    Back-off pulling image "nginx:9.99-does-not-exist"
60m         Warning   Failed              pod/web-deployment-67499b7844-rrdfb    Error: ImagePullBackOff
60m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-67499b7844 from 1 to 0
60m         Normal    SuccessfulDelete    replicaset/web-deployment-67499b7844   Deleted pod: web-deployment-67499b7844-rrdfb
56m         Normal    Scheduled           pod/client-pod                         Successfully assigned dso202-practical-01/client-pod to worker-node-2
55m         Normal    Pulling             pod/client-pod                         Pulling image "busybox:1.37"
55m         Normal    Created             pod/client-pod                         Container created
55m         Normal    Started             pod/client-pod                         Container started
